"Timestamp","What's your Myers-Briggs type?"
"2015/11/17 2:19:14 PM PST","I N F P"
"2015/11/17 3:17:13 PM PST","I N F J"
"2015/11/17 3:23:00 PM PST","I N T P"
"2015/11/17 3:23:11 PM PST","I N F P"
"2015/11/17 3:24:07 PM PST","E N F P"
"2015/11/17 3:27:36 PM PST","I N T J"
"2015/11/17 3:27:57 PM PST","I S F J"
"2015/11/17 3:30:18 PM PST","I N T P"
"2015/11/17 3:31:04 PM PST","I N T J"
"2015/11/17 3:31:32 PM PST","E N F P"
"2015/11/17 3:32:10 PM PST","E N F P"
"2015/11/17 3:32:41 PM PST","I N F P"
"2015/11/17 3:33:28 PM PST","E N F P"
"2015/11/17 3:36:11 PM PST","E N F P"
"2015/11/17 3:37:28 PM PST","I N T P"
"2015/11/17 3:38:27 PM PST","E N F P"
"2015/11/17 3:41:00 PM PST","I N T J"
"2015/11/17 3:42:54 PM PST","I N T P"
"2015/11/17 3:42:58 PM PST","I N T J"
"2015/11/17 3:44:12 PM PST","I N F P"
"2015/11/17 3:44:25 PM PST","I N F P"
"2015/11/17 3:44:33 PM PST","I N T J"
"2015/11/17 3:45:22 PM PST","I N T J"
"2015/11/17 3:45:26 PM PST","I N T J"
"2015/11/17 3:45:56 PM PST","E N F P"
"2015/11/17 3:46:15 PM PST","E N T J"
"2015/11/17 3:47:21 PM PST","I N F J"
"2015/11/17 3:48:35 PM PST","I S T P"
"2015/11/17 3:50:00 PM PST","E N T J"
"2015/11/17 3:53:16 PM PST","I N T P"
"2015/11/17 3:53:23 PM PST","I N T J"
"2015/11/17 3:53:34 PM PST","E N T P"
"2015/11/17 3:54:04 PM PST","I N F P"
"2015/11/17 3:54:08 PM PST","E N F J"
"2015/11/17 3:54:55 PM PST","I N F P"
"2015/11/17 3:55:14 PM PST","I N T P"
"2015/11/17 3:55:23 PM PST","I N T J"
"2015/11/17 3:55:48 PM PST","I N T J"
"2015/11/17 3:59:00 PM PST","I N T P"
"2015/11/17 4:01:28 PM PST","I N T J"
"2015/11/17 4:02:34 PM PST","I N F P"
"2015/11/17 4:04:13 PM PST","E N T P"
"2015/11/17 4:05:54 PM PST","E S T J"
"2015/11/17 4:06:02 PM PST","I N T P"
"2015/11/17 4:06:08 PM PST","I N T J"
"2015/11/17 4:06:47 PM PST","I S T J"
"2015/11/17 4:11:11 PM PST","I N T J"
"2015/11/17 4:13:26 PM PST","I N T J"
"2015/11/17 4:13:28 PM PST","I S F J"
"2015/11/17 4:14:40 PM PST","E N F P"
"2015/11/17 4:15:26 PM PST","I N F P"
"2015/11/17 4:16:19 PM PST","I N T J"
"2015/11/17 4:20:18 PM PST","I N T P"
"2015/11/17 4:24:38 PM PST","I N T J"
"2015/11/17 4:25:07 PM PST","E N F P"
"2015/11/17 4:25:55 PM PST","I N T P"
"2015/11/17 4:31:08 PM PST","E N T J"
"2015/11/17 4:31:19 PM PST","E N F J"
"2015/11/17 4:34:07 PM PST","I N T J"
"2015/11/17 4:35:11 PM PST","I N T J"
"2015/11/17 4:36:00 PM PST","I S T P"
"2015/11/17 4:39:32 PM PST","I N T J"
"2015/11/17 4:43:45 PM PST","I N T J"
"2015/11/17 4:45:39 PM PST","I N F J"
"2015/11/17 4:49:50 PM PST","I S T J"
"2015/11/17 4:54:12 PM PST","I S F J"
"2015/11/17 4:55:42 PM PST","I N T J"
"2015/11/17 4:57:20 PM PST","E N F J"
"2015/11/17 4:59:02 PM PST","I N T J"
"2015/11/17 5:03:02 PM PST","I N F P"
"2015/11/17 5:03:11 PM PST","I N T P"
"2015/11/17 5:05:12 PM PST","I N F P"
"2015/11/17 5:05:58 PM PST","E N F J"
"2015/11/17 5:06:03 PM PST","I N T P"
"2015/11/17 5:14:49 PM PST","I N F P"
"2015/11/17 5:15:14 PM PST","I N F J"
"2015/11/17 5:17:06 PM PST","I N T P"
"2015/11/17 5:19:06 PM PST","I N T J"
"2015/11/17 5:19:50 PM PST","I N F P"
"2015/11/17 5:20:17 PM PST","E N F P"
"2015/11/17 5:23:23 PM PST","E N T P"
"2015/11/17 5:23:48 PM PST","E S F J"
"2015/11/17 5:26:47 PM PST","I N T P"
"2015/11/17 5:27:39 PM PST","E N T J"
"2015/11/17 5:32:11 PM PST","I N F J"
"2015/11/17 5:34:11 PM PST","I N F J"
"2015/11/17 5:41:00 PM PST","I N T J"
"2015/11/17 5:46:24 PM PST","I N F J"
"2015/11/17 5:46:27 PM PST","E N F J"
"2015/11/17 5:50:14 PM PST","I N T J"
"2015/11/17 5:51:47 PM PST","I N T P"
"2015/11/17 5:53:46 PM PST","I N F P"
"2015/11/17 6:05:16 PM PST","E N F J"
"2015/11/17 6:06:09 PM PST","I N F J"
"2015/11/17 6:07:10 PM PST","E N T P"
"2015/11/17 6:08:13 PM PST","I N T J"
"2015/11/17 6:08:58 PM PST","I N F J"
"2015/11/17 6:09:06 PM PST","I S F J"
"2015/11/17 6:11:38 PM PST","E N F P"
"2015/11/17 6:16:37 PM PST","I N T J"
"2015/11/17 6:18:41 PM PST","E N T J"
"2015/11/17 6:21:55 PM PST","I N F P"
"2015/11/17 6:25:10 PM PST","I N F P"
"2015/11/17 6:27:57 PM PST","I S T J"
"2015/11/17 6:31:03 PM PST","E N F P"
"2015/11/17 6:31:22 PM PST","I N T J"
"2015/11/17 6:31:38 PM PST","I N T J"
"2015/11/17 6:37:50 PM PST","I N T J"
"2015/11/17 6:41:31 PM PST","I N T P"
"2015/11/17 6:42:25 PM PST","I N T J"
"2015/11/17 6:48:40 PM PST","I N F J"
"2015/11/17 6:52:28 PM PST","E N F J"
"2015/11/17 6:55:49 PM PST","I N T P"
"2015/11/17 6:57:43 PM PST","I S F J"
"2015/11/17 6:58:09 PM PST","“It's always something different"""
"2015/11/17 6:59:53 PM PST","E N T J"
"2015/11/17 7:03:02 PM PST","I N F P"
"2015/11/17 7:03:49 PM PST","I N T J;I N T P"
