  MBT  % US     % MeFi  Count
 INTJ   2.1  26.595745    150
 INTP   3.3  18.971631    107
 INFP   4.4  16.489362     93
 INFJ   1.5  13.297872     75
 ENFP   8.1   6.560284     37
    ?   0.0   6.028369     34
 ENTP   3.2   4.609929     26
 ISFJ  13.8   4.609929     26
 ENFJ   2.5   4.255319     24
 ENTJ   1.8   4.078014     23
 ISTJ  11.6   3.723404     21
 ISTP   5.4   1.950355     11
 ESFJ  12.3   1.241135      7
 ESTJ   8.7   1.063830      6
 ISFP   8.8   1.063830      6
 ESFP   8.5   0.531915      3
 ESTP   4.3   0.354610      2
